NAME                       INSTALLED                 FIXED-IN                  TYPE       VULNERABILITY        SEVERITY 
libcrypt                   2.26-34.amzn2             2.26-53.amzn2             rpm        ALAS-2021-1703       Medium    
libcrypt                   2.26-34.amzn2             2.26-57.amzn2             rpm        ALAS-2022-1736       Low       
libcrypt                   2.26-34.amzn2             2.26-58.amzn2             rpm        ALAS-2022-1767       Medium    
libcrypt                   2.26-34.amzn2             2.26-61.amzn2             rpm        ALAS-2022-1857       Medium    
libcrypt                   2.26-34.amzn2             2.26-62.amzn2             rpm        ALAS-2022-1869       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.61.1-12.amzn2.0.2       rpm        ALAS-2020-1451       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.61.1-12.amzn2.0.4       rpm        ALAS-2021-1653       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.76.1-4.amzn2.0.1        rpm        ALAS-2021-1693       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.76.1-7.amzn2.0.2        rpm        ALAS-2021-1700       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.79.1-1.amzn2.0.1        rpm        ALAS-2021-1724       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.79.1-2.amzn2.0.1        rpm        ALAS-2022-1792       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.79.1-4.amzn2.0.1        rpm        ALAS-2022-1808       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.79.1-6.amzn2.0.1        rpm        ALAS-2022-1875       Medium    
libcurl                    7.61.1-12.amzn2.0.1       7.79.1-7.amzn2.0.1        rpm        ALAS-2022-1882       Medium    
libfdisk                   2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.10       rpm        ALAS-2022-1901       Medium    
libfdisk                   2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.9        rpm        ALAS-2022-1878       Medium    
libgcc                     7.3.1-6.amzn2.0.4         7.3.1-14.amzn2            rpm        ALAS-2022-1784       Medium    
libgcrypt                  1.5.3-14.amzn2.0.2        1.5.3-14.amzn2.0.3        rpm        ALAS-2022-1769       Medium    
libmount                   2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.10       rpm        ALAS-2022-1901       Medium    
libmount                   2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.9        rpm        ALAS-2022-1878       Medium    
libnghttp2                 1.39.2-1.amzn2            1.41.0-1.amzn2            rpm        ALAS-2020-1445       High      
libsmartcols               2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.10       rpm        ALAS-2022-1901       Medium    
libsmartcols               2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.9        rpm        ALAS-2022-1878       Medium    
libssh2                    1.4.3-12.amzn2.2.2        1.4.3-12.amzn2.2.3        rpm        ALAS-2020-1531       Medium    
libstdc++                  7.3.1-6.amzn2.0.4         7.3.1-14.amzn2            rpm        ALAS-2022-1784       Medium    
libtasn1                   4.10-1.amzn2.0.2          4.10-1.amzn2.0.3          rpm        ALAS-2023-1908       High      
libuuid                    2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.10       rpm        ALAS-2022-1901       Medium    
libuuid                    2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.9        rpm        ALAS-2022-1878       Medium    
libxml2                    2.9.1-6.amzn2.3.3         2.9.1-6.amzn2.4.1         rpm        ALAS-2020-1466       High      
libxml2                    2.9.1-6.amzn2.3.3         2.9.1-6.amzn2.5.1         rpm        ALAS-2020-1534       Medium    
libxml2                    2.9.1-6.amzn2.3.3         2.9.1-6.amzn2.5.3         rpm        ALAS-2021-1662       Medium    
libxml2                    2.9.1-6.amzn2.3.3         2.9.1-6.amzn2.5.4         rpm        ALAS-2021-1677       Medium    
libxml2                    2.9.1-6.amzn2.3.3         2.9.1-6.amzn2.5.5         rpm        ALAS-2022-1826       Medium    
libxml2                    2.9.1-6.amzn2.3.3         2.9.1-6.amzn2.5.6         rpm        ALAS-2022-1848       Medium    
ncurses                    6.0-8.20170212.amzn2.1.3  6.0-8.20170212.amzn2.1.4  rpm        ALAS-2022-1893       Medium    
ncurses-base               6.0-8.20170212.amzn2.1.3  6.0-8.20170212.amzn2.1.4  rpm        ALAS-2022-1893       Medium    
ncurses-libs               6.0-8.20170212.amzn2.1.3  6.0-8.20170212.amzn2.1.4  rpm        ALAS-2022-1893       Medium    
nspr                       4.21.0-1.amzn2.0.2        4.25.0-2.amzn2            rpm        ALAS-2020-1559       Medium    
nspr                       4.21.0-1.amzn2.0.2        4.32.0-1.amzn2            rpm        ALAS-2021-1722       Critical  
nss                        3.44.0-7.amzn2            3.53.1-3.amzn2            rpm        ALAS-2020-1559       Medium    
nss                        3.44.0-7.amzn2            3.53.1-7.amzn2            rpm        ALAS-2021-1664       Medium    
nss                        3.44.0-7.amzn2            3.67.0-4.amzn2.0.1        rpm        ALAS-2021-1722       Critical  
nss-softokn                3.44.0-8.amzn2            3.53.1-6.amzn2            rpm        ALAS-2020-1559       Medium    
nss-softokn                3.44.0-8.amzn2            3.67.0-3.amzn2            rpm        ALAS-2021-1722       Critical  
nss-softokn-freebl         3.44.0-8.amzn2            3.53.1-6.amzn2            rpm        ALAS-2020-1559       Medium    
nss-softokn-freebl         3.44.0-8.amzn2            3.67.0-3.amzn2            rpm        ALAS-2021-1722       Critical  
nss-sysinit                3.44.0-7.amzn2            3.53.1-3.amzn2            rpm        ALAS-2020-1559       Medium    
nss-sysinit                3.44.0-7.amzn2            3.53.1-7.amzn2            rpm        ALAS-2021-1664       Medium    
nss-sysinit                3.44.0-7.amzn2            3.67.0-4.amzn2.0.1        rpm        ALAS-2021-1722       Critical  
nss-tools                  3.44.0-7.amzn2            3.53.1-3.amzn2            rpm        ALAS-2020-1559       Medium    
nss-tools                  3.44.0-7.amzn2            3.53.1-7.amzn2            rpm        ALAS-2021-1664       Medium    
nss-tools                  3.44.0-7.amzn2            3.67.0-4.amzn2.0.1        rpm        ALAS-2021-1722       Critical  
nss-util                   3.44.0-4.amzn2            3.53.1-1.amzn2            rpm        ALAS-2020-1559       Medium    
nss-util                   3.44.0-4.amzn2            3.67.0-1.amzn2            rpm        ALAS-2021-1722       Critical  
openldap                   2.4.44-15.amzn2           2.4.44-22.amzn2           rpm        ALAS-2020-1539       Medium    
openldap                   2.4.44-15.amzn2           2.4.44-23.amzn2           rpm        ALAS-2021-1638       Medium    
openldap                   2.4.44-15.amzn2           2.4.44-23.amzn2.0.2       rpm        ALAS-2021-1707       Medium    
openldap                   2.4.44-15.amzn2           2.4.44-23.amzn2.0.3       rpm        ALAS-2022-1770       Medium    
openssl                    1:1.0.2k-19.amzn2.0.3     1.0.2k-19.amzn2.0.4       rpm        ALAS-2020-1573       High      
